date,symbol,action,shares,price,cost,position_size,confidence,stop_loss,regime,revenue,pnl,return_pct,holding_days,reason,drawdown
2023-01-09,AAPL,BUY,10,130.15,1302.8014999999998,0.14013294150718586,0.9295210107656132,119.73800000000001,MEDIUM,,,,,,
2023-02-03,AAPL,SELL,10,154.5,,,0.9295210107656132,,MEDIUM,1543.455,241.95499999999993,18.590472531694193,25.0,Model sell signal,
2023-02-06,AAPL,BUY,8,151.73,1215.0538399999998,0.1244074907641457,0.8171963626010408,139.5916,HIGH,,,,,,
2023-02-07,AAPL,SELL,8,154.65,,,0.8171963626010408,,HIGH,1235.9628,22.122800000000097,1.822546628880256,1.0,Model sell signal,
2023-02-08,AAPL,BUY,8,151.92,1216.5753599999998,0.12474002087340988,0.8195715776672134,139.7664,HIGH,,,,,,
2023-02-15,AAPL,SELL,8,155.33,,,0.8195715776672134,,HIGH,1241.3973600000002,26.037360000000263,2.142357819905235,7.0,Model sell signal,
2023-02-24,AAPL,BUY,9,146.71,1321.71039,0.1309817667997381,0.8641554771409866,134.97320000000002,MEDIUM,,,,,,
2023-03-20,AAPL,SELL,9,157.4,,,0.8641554771409866,,MEDIUM,1415.1834000000001,94.79340000000002,7.179197055415447,24.0,Model sell signal,
2023-03-28,AAPL,BUY,8,157.65,1262.4612,0.12337954378597218,0.8098538841855156,145.038,MEDIUM,,,,,,
2023-03-31,AAPL,SELL,8,164.9,,,0.8098538841855156,,MEDIUM,1317.8808000000001,56.68080000000009,4.4941960038059054,3.0,Model sell signal,
2023-04-10,AAPL,BUY,8,162.03,1297.53624,0.13588111542017373,0.8991508244298123,149.0676,MEDIUM,,,,,,
2023-05-05,AAPL,SELL,8,173.57,,,0.8991508244298123,,HIGH,1387.1714399999998,90.93143999999984,7.0150157378263165,25.0,Model sell signal,
2023-05-17,AAPL,BUY,7,172.69,1210.0388299999997,0.11844414784755303,0.7746010560539502,158.8748,HIGH,,,,,,
2023-06-01,AAPL,SELL,7,180.09,,,0.7746010560539502,,MEDIUM,1259.3693700000001,50.53937000000019,4.18085007817478,15.0,Model sell signal,
2023-06-05,AAPL,BUY,7,179.58,1258.31706,0.12004205076794582,0.7860146483424701,165.2136,MEDIUM,,,,,,
2023-06-08,AAPL,SELL,7,180.57,,,0.7860146483424701,,LOW,1262.72601,5.666009999999915,0.450735048446368,3.0,Model sell signal,
2023-06-13,AAPL,BUY,7,183.31,1284.45317,0.12395773599472684,0.8139838285337632,168.64520000000002,LOW,,,,,,
2023-06-30,AAPL,SELL,7,193.97,,,0.8139838285337632,,MEDIUM,1356.43221,73.26220999999987,5.709470296219508,17.0,Model sell signal,
2023-07-10,AAPL,BUY,7,188.61,1321.59027,0.13532813635069976,0.8952009739335698,173.52120000000002,MEDIUM,,,,,,
2023-07-17,AAPL,SELL,7,193.99,,,0.8952009739335698,,LOW,1356.5720700000002,36.302070000000185,2.7495944011452345,7.0,Model sell signal,
2023-07-21,AAPL,BUY,7,191.94,1344.9235799999997,0.13648324824716898,0.9034517731940642,176.5848,LOW,,,,,,
2023-07-28,AAPL,SELL,7,195.83,,,0.9034517731940642,,LOW,1369.4391900000003,25.859190000000353,1.9246483276024022,7.0,Model sell signal,
2023-08-07,AAPL,BUY,6,178.85,1074.1730999999997,0.11596461122199143,0.7568900801570817,164.542,HIGH,,,,,,
2023-08-14,AAPL,SELL,6,179.46,,,0.7568900801570817,,HIGH,1075.68324,2.58324000000016,0.24072686608891622,7.0,Model sell signal,
2023-08-15,AAPL,BUY,8,177.45,1421.0195999999999,0.13759127739524846,0.9113662671089177,163.254,HIGH,,,,,,
2023-08-29,AAPL,SELL,8,184.12,,,0.9113662671089177,,MEDIUM,1471.48704,51.88704000000007,3.655046491969574,14.0,Model sell signal,
2023-09-12,AAPL,BUY,8,176.3,1411.8103999999998,0.13661916421288767,0.9044226015206263,162.19600000000003,HIGH,,,,,,
2023-09-20,AAPL,SELL,8,175.49,,,0.9044226015206263,,MEDIUM,1402.51608,-7.883919999999989,-0.5589846851956883,8.0,Model sell signal,
2023-09-26,AAPL,BUY,8,171.96,1377.05568,0.14285641454184278,0.9489743895845915,158.2032,MEDIUM,,,,,,
2023-10-10,AAPL,SELL,8,178.39,,,0.9489743895845915,,LOW,1425.6928799999998,50.01287999999977,3.6355024424284546,14.0,Model sell signal,
2023-10-16,AAPL,BUY,8,178.72,1431.1897599999998,0.13887313568333798,0.9205223977381285,164.4224,LOW,,,,,,
2023-10-20,AAPL,SELL,8,172.88,,,0.9205223977381285,,LOW,1381.65696,-48.103039999999964,-3.364413607878243,4.0,Model sell signal,
2023-10-26,AAPL,BUY,8,166.89,1336.4551199999999,0.13231528788778962,0.8736806277699258,153.53879999999998,LOW,,,,,,
2023-11-10,AAPL,SELL,8,186.4,,,0.8736806277699258,,MEDIUM,1489.7088,154.58880000000022,11.578644616214289,15.0,Model sell signal,
2023-11-14,AAPL,BUY,6,187.44,1125.7646399999996,0.11782539044161051,0.770181360297218,172.44480000000001,MEDIUM,,,,,,
2023-11-16,AAPL,SELL,6,189.71,,,0.770181360297218,,MEDIUM,1137.12174,12.481740000000173,1.109843149807954,2.0,Model sell signal,
2023-11-28,AAPL,BUY,7,190.4,1334.1327999999999,0.13488087097803,0.8920062212716429,175.168,LOW,,,,,,
2023-12-05,AAPL,SELL,7,193.42,,,0.8920062212716429,,LOW,1352.5860599999999,19.786059999999907,1.484548319327724,7.0,Model sell signal,
2024-01-04,AAPL,BUY,7,181.91,1274.6433699999998,0.13120907883150584,0.8657791345107559,167.3572,MEDIUM,,,,,,
2024-01-08,AAPL,SELL,7,185.56,,,0.8657791345107559,,MEDIUM,1297.6210800000001,24.25108000000023,1.9044802374800909,4.0,Model sell signal,
2024-01-12,AAPL,BUY,7,185.92,1302.7414399999998,0.13056707114860758,0.861193365347197,171.0464,MEDIUM,,,,,,
2024-01-22,AAPL,SELL,7,193.89,,,0.861193365347197,,MEDIUM,1355.87277,54.43277000000012,4.182503227194502,10.0,Model sell signal,
2024-03-07,AAPL,BUY,7,169.0,1184.1829999999998,0.11704238597621325,0.764588471258666,155.48000000000002,MEDIUM,,,,,,
2024-03-14,AAPL,SELL,7,173.0,,,0.764588471258666,,MEDIUM,1209.789,26.788999999999987,2.2644970414201175,7.0,Model sell signal,
2024-04-02,AAPL,BUY,9,168.84,1521.0795599999997,0.13813975491487138,0.9152839636776527,155.33280000000002,HIGH,,,,,,
2024-04-11,AAPL,SELL,9,175.04,,,0.9152839636776527,,HIGH,1573.7846399999999,54.22463999999991,3.5684434968017,9.0,Model sell signal,
2024-04-18,AAPL,BUY,8,167.04,1337.6563199999998,0.12407188900933008,0.8147992072095006,153.6768,HIGH,,,,,,
2024-05-20,AAPL,SELL,8,191.04,,,0.8147992072095006,,LOW,1526.79168,190.4716800000001,14.253448275862077,32.0,Model sell signal,
2024-05-23,AAPL,BUY,8,186.88,1496.5350399999998,0.14253037329492216,0.9466455235351583,171.9296,MEDIUM,,,,,,
2024-06-12,AAPL,SELL,8,213.07,,,0.9466455235351583,,HIGH,1702.85544,207.81544000000008,13.900326412671237,20.0,Model sell signal,
2024-06-18,AAPL,BUY,6,214.29,1287.0257399999998,0.12028886768930691,0.7877776263521922,197.1468,HIGH,,,,,,
2024-07-10,AAPL,SELL,6,232.98,,,0.7877776263521922,,MEDIUM,1396.48212,110.74211999999989,8.613103737925233,22.0,Model sell signal,
2024-07-26,AAPL,BUY,6,217.96,1309.06776,0.1152724483940307,0.7519460599573621,200.5232,MEDIUM,,,,,,
2024-07-30,AAPL,SELL,6,218.8,,,0.7519460599573621,,MEDIUM,1311.4872000000003,3.7272000000002663,0.28500642319693725,4.0,Model sell signal,
2024-08-06,AAPL,BUY,7,207.23,1452.0606099999998,0.1422858133328383,0.9448986666631307,190.6516,HIGH,,,,,,
2024-08-12,AAPL,SELL,7,217.53,,,0.9448986666631307,,HIGH,1521.18729,70.57729000000018,4.86535250687643,6.0,Model sell signal,
2024-08-22,AAPL,BUY,6,224.53,1348.5271799999998,0.1250058000830559,0.8214700005932564,206.5676,LOW,,,,,,
2024-08-27,AAPL,SELL,6,228.03,,,0.8214700005932564,,LOW,1366.8118200000001,19.63182000000006,1.457252928339202,5.0,Model sell signal,
2024-09-13,AAPL,BUY,7,222.5,1559.0575,0.13376277246260512,0.8840198033043224,204.70000000000002,MEDIUM,,,,,,
2024-09-19,AAPL,SELL,7,228.87,,,0.8840198033043224,,HIGH,1600.48791,42.987910000000056,2.7600584269662956,6.0,Model sell signal,
2024-10-07,AAPL,BUY,6,221.69,1331.4701399999997,0.1220962711529794,0.80068765109271,203.9548,MEDIUM,,,,,,
2024-11-01,AAPL,SELL,6,222.91,,,0.80068765109271,,MEDIUM,1336.12254,5.982540000000199,0.4497676936262499,25.0,Model sell signal,
2024-11-07,AAPL,BUY,7,227.48,1593.9523599999998,0.1389351040271645,0.9209650287654607,209.2816,MEDIUM,,,,,,
2024-12-20,AAPL,SELL,7,254.49,,,0.9209650287654607,,MEDIUM,1779.64857,187.28857000000016,11.761697731668729,43.0,Model sell signal,
2025-01-21,AAPL,BUY,6,222.64,1337.1758399999999,0.11803167782268001,0.7716548415905715,204.8288,HIGH,,,,,,
2025-01-28,AAPL,SELL,6,238.26,,,0.7716548415905715,,HIGH,1428.13044,92.29043999999999,6.908794466403162,7.0,Model sell signal,
2025-02-06,AAPL,BUY,5,233.22,1167.2660999999998,0.116189727200644,0.7584980514331714,214.5624,HIGH,,,,,,
2025-02-24,AAPL,SELL,5,247.1,,,0.7584980514331714,,LOW,1234.2645,68.16450000000009,5.845510676614364,18.0,Model sell signal,
2025-02-26,AAPL,BUY,6,240.36,1443.60216,0.12347169381808659,0.8105120987006185,221.13120000000004,MEDIUM,,,,,,
2025-03-10,AAPL,SELL,6,227.48,,,0.8105120987006185,,HIGH,1363.5151199999998,-78.64488000000028,-5.453270094857733,12.0,Model sell signal,
2025-03-18,AAPL,BUY,7,212.69,1490.3188299999997,0.1311568719985438,0.8654062285610273,195.6748,HIGH,,,,,,
2025-03-27,AAPL,SELL,7,223.85,,,0.8654062285610273,,MEDIUM,1565.3830500000001,76.55305000000021,5.141826131929114,9.0,Model sell signal,
2025-04-10,AAPL,BUY,7,190.42,1334.2729399999996,0.12050342575741951,0.7893101839815679,175.1864,HIGH,,,,,,
2025-04-23,AAPL,SELL,7,204.6,,,0.7893101839815679,,HIGH,1430.7678,97.82780000000025,7.339250078773257,13.0,Model sell signal,
2025-05-05,AAPL,BUY,7,198.89,1393.62223,0.12601236505298283,0.8286597503784487,182.9788,HIGH,,,,,,
2025-07-31,AAPL,SELL,7,207.57,,,0.8286597503784487,,LOW,1451.53701,59.30700999999999,4.259857207501634,87.0,Model sell signal,
2025-08-22,AAPL,BUY,6,227.76,1367.9265599999999,0.11638697503038407,0.7599069645027434,209.5392,MEDIUM,,,,,,
2025-09-09,AAPL,SELL,6,234.35,,,0.7599069645027434,,MEDIUM,1404.6939,38.13390000000004,2.7905031612223423,18.0,Model sell signal,
2023-01-04,AMZN,BUY,18,85.14,1534.0525199999997,0.1282044733906068,0.8443176670757628,78.3288,MEDIUM,,,,,,
2023-01-31,AMZN,SELL,18,103.13,,,0.8443176670757628,,HIGH,1854.4836599999999,321.9636599999999,21.00877378435517,27.0,Model sell signal,
2023-03-03,AMZN,BUY,17,94.9,1614.9133,0.13500351076193598,0.8928822197281141,87.308,HIGH,,,,,,
2023-03-16,AMZN,SELL,17,100.04,,,0.8928822197281141,,HIGH,1698.9793200000001,85.67931999999996,5.310811380400419,13.0,Model sell signal,
2023-03-23,AMZN,BUY,15,98.71,1482.1306499999996,0.11883532172794291,0.7773951551995922,90.8132,HIGH,,,,,,
2023-03-30,AMZN,SELL,15,102.0,,,0.7773951551995922,,HIGH,1528.47,47.820000000000164,3.229662648161292,7.0,Model sell signal,
2023-04-11,AMZN,BUY,17,99.92,1700.33864,0.13498221784802655,0.8927301274859039,91.9264,HIGH,,,,,,
2023-05-18,AMZN,SELL,17,118.15,,,0.8927301274859039,,MEDIUM,2006.5414500000002,307.90145000000007,18.126351080864694,37.0,Model sell signal,
2023-05-19,AMZN,BUY,15,116.25,1745.4937499999999,0.13397469497635803,0.8855335355454145,106.95,HIGH,,,,,,
2023-05-31,AMZN,SELL,15,120.58,,,0.8855335355454145,,HIGH,1806.8913,63.1413,3.6210064516129035,12.0,Model sell signal,
2023-06-07,AMZN,BUY,12,121.23,1456.2147599999998,0.11695129591479404,0.7639378279628146,111.53160000000001,HIGH,,,,,,
2023-06-08,AMZN,SELL,12,124.25,,,0.7639378279628146,,HIGH,1489.509,34.749000000000024,2.388641425389757,1.0,Model sell signal,
2023-06-14,AMZN,BUY,12,126.42,1518.5570399999997,0.12216726480495696,0.8011947486068355,116.30640000000001,HIGH,,,,,,
2023-06-22,AMZN,SELL,12,130.15,,,0.8011947486068355,,HIGH,1560.2382000000002,43.19820000000027,2.84753203607026,8.0,Model sell signal,
2023-06-29,AMZN,BUY,13,127.9,1664.3627,0.13193749958835618,0.8709821399168299,117.668,HIGH,,,,,,
2023-07-03,AMZN,SELL,13,130.22,,,0.8709821399168299,,HIGH,1691.1671399999998,28.467139999999745,1.7121032056293826,4.0,Model sell signal,
2023-07-06,AMZN,BUY,14,128.36,1798.83704,0.14462665098860072,0.9616189356328624,118.09120000000001,HIGH,,,,,,
2023-07-13,AMZN,SELL,14,134.3,,,0.9616189356328624,,MEDIUM,1878.3198000000002,81.27980000000002,4.522982237457152,7.0,Model sell signal,
2023-07-21,AMZN,BUY,12,130.0,1561.5599999999997,0.1196975206662114,0.7835537190443671,119.60000000000001,HIGH,,,,,,
2023-08-04,AMZN,SELL,12,139.57,,,0.7835537190443671,,HIGH,1673.16516,113.16516000000001,7.254176923076924,14.0,Model sell signal,
2023-08-24,AMZN,BUY,13,131.84,1715.63392,0.13414231631329976,0.886730830809284,121.29280000000001,MEDIUM,,,,,,
2023-09-11,AMZN,SELL,13,143.1,,,0.886730830809284,,MEDIUM,1858.4397,144.51969999999983,8.43211468446601,18.0,Model sell signal,
2023-09-26,AMZN,BUY,14,125.98,1765.4837199999997,0.13547412685739676,0.8962437632671197,115.9016,HIGH,,,,,,
2023-10-11,AMZN,SELL,14,131.83,,,0.8962437632671197,,HIGH,1843.77438,80.05438000000004,4.538950627083667,15.0,Model sell signal,
2023-10-23,AMZN,BUY,13,126.56,1646.9252799999997,0.12470462756837336,0.8193187683455241,116.43520000000001,HIGH,,,,,,
2023-11-07,AMZN,SELL,13,142.71,,,0.8193187683455241,,HIGH,1853.3747700000001,208.09477000000015,12.647985145385599,15.0,Model sell signal,
2023-11-15,AMZN,BUY,13,143.2,1863.4615999999996,0.14521120931145498,0.9657943522246784,131.744,MEDIUM,,,,,,
2023-11-24,AMZN,SELL,13,146.74,,,0.9657943522246784,,MEDIUM,1905.7123800000002,44.11238000000026,2.3695949720670533,9.0,Model sell signal,
2023-12-11,AMZN,BUY,12,145.89,1752.4306799999997,0.13131457135720176,0.8665326525514412,134.2188,MEDIUM,,,,,,
2023-12-18,AMZN,SELL,12,154.07,,,0.8665326525514412,,MEDIUM,1846.9911599999998,96.31115999999997,5.501357186921652,7.0,Model sell signal,
2024-01-02,AMZN,BUY,12,149.93,1800.9591599999999,0.12945163126512566,0.8532259376080403,137.93560000000002,MEDIUM,,,,,,
2024-01-10,AMZN,SELL,12,153.73,,,0.8532259376080403,,MEDIUM,1842.9152399999998,43.75523999999973,2.431981591409309,8.0,Model sell signal,
2024-01-18,AMZN,BUY,11,153.5,1690.1884999999997,0.12588847403428094,0.8277748145305781,141.22,MEDIUM,,,,,,
2024-02-05,AMZN,SELL,11,170.31,,,0.8277748145305781,,HIGH,1871.5365900000002,183.03659000000016,10.840188925081442,18.0,Model sell signal,
2024-02-15,AMZN,BUY,11,169.8,1869.6678,0.13959327454692355,0.9256662467637397,156.216,HIGH,,,,,,
2024-02-29,AMZN,SELL,11,176.76,,,0.9256662467637397,,MEDIUM,1942.41564,74.61563999999976,3.9948409893992802,14.0,Model sell signal,
